DATACOMUM,Unnamed: 0,PATIVA,PREATIVA,IDMEDIDOR
2019-07-12 13,328.5,30.84,0.0,2006001.0
2019-07-12 14,332.5,32.74,0.0,2006001.0
2019-07-12 15,336.5,31.76,0.0,2006001.0
2019-07-12 16,340.5,27.84,0.0,2006001.0
2019-07-12 17,344.5,24.259999999999998,0.0,2006001.0
2019-07-12 18,348.5,24.14,0.0,2006001.0
2019-07-12 19,352.5,23.16,0.0,2006001.0
2019-07-12 20,356.5,21.119999999999997,0.0,2006001.0
2019-07-12 21,360.5,20.48,0.0,2006001.0
2019-07-12 22,364.5,19.62,0.0,2006001.0
2019-07-12 23,368.5,19.26,0.0,2006001.0
2019-07-13 00,372.5,18.939999999999998,-5.34,2006001.0
2019-07-13 01,376.5,18.92,-7.140000000000001,2006001.0
2019-07-13 02,380.5,18.52,-7.28,2006001.0
2019-07-13 03,384.5,18.4,-7.16,2006001.0
2019-07-13 04,388.5,18.119999999999997,-7.24,2006001.0
2019-07-13 05,392.5,18.700000000000003,-7.140000000000001,2006001.0
2019-07-13 06,396.5,18.68,-1.82,2006001.0
2019-07-13 07,400.5,18.44,0.0,2006001.0
2019-07-13 08,404.5,20.82,0.0,2006001.0
2019-07-13 09,408.5,20.74,0.0,2006001.0
2019-07-13 10,412.5,20.82,0.0,2006001.0
2019-07-13 11,416.5,21.22,0.0,2006001.0
2019-07-13 12,420.5,20.46,0.0,2006001.0
2019-07-13 13,424.5,19.099999999999998,0.0,2006001.0
2019-07-13 14,428.5,18.759999999999998,0.0,2006001.0
2019-07-13 15,432.5,18.4,0.0,2006001.0
2019-07-13 16,436.5,18.04,0.0,2006001.0
2019-07-13 17,440.5,18.4,0.0,2006001.0
2019-07-13 18,444.5,19.619999999999997,0.0,2006001.0
2019-07-13 19,448.5,20.22,0.0,2006001.0
2019-07-13 20,452.5,19.439999999999998,0.0,2006001.0
2019-07-13 21,456.5,19.5,0.0,2006001.0
2019-07-13 22,460.5,18.839999999999996,0.0,2006001.0
2019-07-13 23,464.5,18.66,0.0,2006001.0
2019-07-14 00,468.5,18.259999999999998,-5.38,2006001.0
2019-07-14 01,472.5,18.04,-7.2,2006001.0
2019-07-14 02,476.5,17.94,-7.28,2006001.0
2019-07-14 03,480.5,17.82,-7.08,2006001.0
2019-07-14 04,484.5,17.42,-7.300000000000001,2006001.0
2019-07-14 05,488.5,17.94,-7.260000000000001,2006001.0
2019-07-14 06,492.5,17.759999999999998,-1.76,2006001.0
2019-07-14 07,496.5,16.62,0.0,2006001.0
2019-07-14 08,500.5,16.9,0.0,2006001.0
2019-07-14 09,504.5,17.12,0.0,2006001.0
2019-07-14 10,508.5,17.44,0.0,2006001.0
2019-07-14 11,512.5,17.76,0.0,2006001.0
2019-07-14 12,516.5,17.5,0.0,2006001.0
2019-07-14 13,520.5,17.62,0.0,2006001.0
2019-07-14 14,524.5,17.6,0.0,2006001.0
2019-07-14 15,528.5,17.58,0.0,2006001.0
2019-07-14 16,532.5,17.939999999999998,0.0,2006001.0
2019-07-14 17,536.5,18.48,0.0,2006001.0
2019-07-14 18,540.5,19.520000000000003,0.0,2006001.0
2019-07-14 19,544.5,19.88,0.0,2006001.0
2019-07-14 20,548.5,19.220000000000002,0.0,2006001.0
2019-07-14 21,552.5,19.16,0.0,2006001.0
2019-07-14 22,556.5,18.919999999999998,0.0,2006001.0
2019-07-14 23,560.5,18.779999999999998,0.0,2006001.0
2019-07-15 00,564.5,18.46,-5.38,2006001.0
2019-07-15 01,568.5,18.2,-7.260000000000001,2006001.0
2019-07-15 02,572.5,18.16,-7.2,2006001.0
2019-07-15 03,576.5,17.88,-7.2,2006001.0
2019-07-15 04,580.5,17.0,-6.62,2006001.0
2019-07-15 05,584.5,16.96,-6.08,2006001.0
2019-07-15 06,588.5,17.64,-1.56,2006001.0
2019-07-15 07,592.5,21.119999999999997,0.0,2006001.0
2019-07-15 08,596.5,25.52,0.0,2006001.0
2019-07-15 09,600.5,29.72,0.0,2006001.0
2019-07-15 10,604.5,31.52,0.0,2006001.0
2019-07-15 11,608.5,32.26,0.0,2006001.0
2019-07-15 12,612.5,30.000000000000004,0.0,2006001.0
2019-07-15 13,616.5,31.880000000000003,0.0,2006001.0
2019-07-15 14,620.5,34.46,0.0,2006001.0
2019-07-15 15,624.5,33.88,0.0,2006001.0
2019-07-15 16,628.5,32.06,0.0,2006001.0
2019-07-15 17,632.5,26.6,0.0,2006001.0
2019-07-15 18,636.5,24.139999999999997,0.0,2006001.0
2019-07-15 19,640.5,23.400000000000002,0.0,2006001.0
2019-07-15 20,644.5,21.46,0.0,2006001.0
2019-07-15 21,648.5,21.18,0.0,2006001.0
2019-07-15 22,652.5,20.380000000000003,0.0,2006001.0
2019-07-15 23,656.5,19.86,0.0,2006001.0
2019-07-16 00,660.5,19.12,-4.5,2006001.0
2019-07-16 01,664.5,18.62,-5.98,2006001.0
2019-07-16 02,668.5,18.52,-6.0,2006001.0
2019-07-16 03,672.5,18.259999999999998,-6.08,2006001.0
2019-07-16 04,676.5,18.18,-5.959999999999999,2006001.0
2019-07-16 05,680.5,18.84,-6.02,2006001.0
2019-07-16 06,684.5,19.06,-1.56,2006001.0
2019-07-16 07,688.5,25.520000000000003,0.0,2006001.0
2019-07-16 08,692.5,34.959999999999994,0.0,2006001.0
2019-07-16 09,696.5,36.120000000000005,0.0,2006001.0
2019-07-16 10,700.5,30.94,0.0,2006001.0
2019-07-16 11,704.5,30.259999999999998,0.0,2006001.0
2019-07-16 12,708.5,30.76,0.0,2006001.0
2019-07-16 13,712.5,31.279999999999998,0.0,2006001.0
2019-07-16 14,716.5,35.88,0.0,2006001.0
2019-07-16 15,720.5,35.239999999999995,0.0,2006001.0
2019-07-16 16,724.5,34.28,0.0,2006001.0
2019-07-16 17,728.5,27.42,0.0,2006001.0
2019-07-16 18,732.5,25.040000000000003,0.0,2006001.0
2019-07-16 19,736.5,24.22,0.0,2006001.0
2019-07-16 20,740.5,22.700000000000003,0.0,2006001.0
2019-07-16 21,744.5,22.02,0.0,2006001.0
2019-07-16 22,748.5,21.4,0.0,2006001.0
2019-07-16 23,752.5,20.32,0.0,2006001.0
2019-07-17 00,756.5,19.84,-5.68,2006001.0
2019-07-17 01,760.5,19.64,-7.500000000000001,2006001.0
2019-07-17 02,764.5,19.54,-7.42,2006001.0
2019-07-17 03,768.5,19.319999999999997,-7.48,2006001.0
2019-07-17 04,772.5,19.52,-7.42,2006001.0
2019-07-17 05,776.5,19.720000000000002,-7.48,2006001.0
2019-07-17 06,780.5,20.42,-1.86,2006001.0
2019-07-17 07,784.5,27.12,0.0,2006001.0
2019-07-17 08,788.5,32.82,0.0,2006001.0
2019-07-17 09,792.5,35.14,0.0,2006001.0
2019-07-17 10,796.5,35.559999999999995,0.0,2006001.0
2019-07-17 11,800.5,35.42,0.0,2006001.0
2019-07-17 12,804.5,32.82,0.0,2006001.0
2019-07-17 13,808.5,35.98,0.0,2006001.0
2019-07-17 14,812.5,37.44,0.0,2006001.0
2019-07-17 15,816.5,34.98,0.0,2006001.0
2019-07-17 16,820.5,34.42,0.0,2006001.0
2019-07-17 17,824.5,28.28,0.0,2006001.0
2019-07-17 18,828.5,26.0,0.0,2006001.0
2019-07-17 19,832.5,23.62,0.0,2006001.0
2019-07-17 20,836.5,22.76,0.0,2006001.0
2019-07-17 21,840.5,22.66,0.0,2006001.0
2019-07-17 22,844.5,21.799999999999997,0.0,2006001.0
2019-07-17 23,848.5,21.2,0.0,2006001.0
2019-07-18 00,852.5,20.58,-5.82,2006001.0
2019-07-18 01,856.5,20.16,-7.78,2006001.0
2019-07-18 02,860.5,20.32,-7.799999999999999,2006001.0
2019-07-18 03,864.5,19.840000000000003,-7.879999999999999,2006001.0
2019-07-18 04,868.5,19.88,-7.74,2006001.0
2019-07-18 05,872.5,20.52,-7.88,2006001.0
2019-07-18 06,876.5,20.82,-1.96,2006001.0
2019-07-18 07,880.5,25.22,0.0,2006001.0
2019-07-18 08,884.5,31.6,0.0,2006001.0
2019-07-18 09,888.5,33.620000000000005,0.0,2006001.0
2019-07-18 10,892.5,33.099999999999994,0.0,2006001.0
2019-07-18 11,896.5,34.44,0.0,2006001.0
2019-07-18 12,900.5,32.34,0.0,2006001.0
2019-07-18 13,904.5,34.8,0.0,2006001.0
2019-07-18 14,908.5,35.44,0.0,2006001.0
2019-07-18 15,912.5,36.8,0.0,2006001.0
2019-07-18 16,916.5,36.2,0.0,2006001.0
2019-07-18 17,920.5,27.82,0.0,2006001.0
2019-07-18 18,924.5,26.740000000000002,0.0,2006001.0
2019-07-18 19,928.5,21.74,0.0,2006001.0
2019-07-18 20,932.5,19.78,0.0,2006001.0
2019-07-18 21,936.5,19.34,0.0,2006001.0
2019-07-18 22,940.5,18.7,0.0,2006001.0
2019-07-18 23,944.5,17.54,0.0,2006001.0
2019-07-19 00,948.5,16.799999999999997,-5.8,2006001.0
2019-07-19 01,952.5,16.740000000000002,-7.640000000000001,2006001.0
2019-07-19 02,956.5,16.799999999999997,-7.72,2006001.0
2019-07-19 03,1413.0,16.560000000000002,-7.699999999999999,2006001.0
2019-07-19 04,2774.5,16.439999999999998,-7.699999999999999,2006001.0
2019-07-19 05,2778.5,17.38,-7.66,2006001.0
2019-07-19 06,2782.5,17.84,-1.86,2006001.0
2019-07-19 07,2786.5,24.84,0.0,2006001.0
2019-07-19 08,2790.5,33.839999999999996,0.0,2006001.0
2019-07-19 09,2794.5,36.13999999999999,0.0,2006001.0
2019-07-19 10,2798.5,37.72,0.0,2006001.0
2019-07-19 11,2802.5,36.419999999999995,0.0,2006001.0
2019-07-19 12,2806.5,33.54,0.0,2006001.0
2019-07-19 13,2810.5,33.44,0.0,2006001.0
2019-07-19 14,2814.5,35.379999999999995,0.0,2006001.0
2019-07-19 15,2818.5,33.26,0.0,2006001.0
2019-07-19 16,2822.5,28.98,0.0,2006001.0
2019-07-19 17,2826.5,25.9,0.0,2006001.0
2019-07-19 18,2830.5,18.32,0.0,2006001.0
2019-07-19 19,2834.5,15.74,0.0,2006001.0
2019-07-19 20,2838.5,15.1,0.0,2006001.0
2019-07-19 21,2842.5,14.86,0.0,2006001.0
2019-07-19 22,2846.5,13.32,0.0,2006001.0
2019-07-19 23,2850.5,13.14,0.0,2006001.0
2019-07-20 00,2854.5,13.02,-3.6399999999999997,2006001.0
2019-07-20 01,2858.5,12.700000000000001,-5.0,2006001.0
2019-07-20 02,2862.5,12.560000000000002,-5.24,2006001.0
2019-07-20 03,2866.5,12.280000000000001,-5.1,2006001.0
2019-07-20 04,2870.5,12.0,-4.96,2006001.0
2019-07-20 05,2874.5,12.66,-4.88,2006001.0
2019-07-20 06,1973.5,11.96,-1.26,2006001.0
2019-07-20 07,1072.5,15.36,0.0,2006001.0
2019-07-20 08,1076.5,19.36,0.0,2006001.0
2019-07-20 09,1080.5,20.900000000000002,0.0,2006001.0
2019-07-20 10,1084.5,21.8,0.0,2006001.0
2019-07-20 11,1088.5,21.22,0.0,2006001.0
2019-07-20 12,1092.5,19.38,0.0,2006001.0
2019-07-20 13,1096.5,19.48,0.0,2006001.0
2019-07-20 14,1100.5,19.240000000000002,0.0,2006001.0
2019-07-20 15,1104.5,19.240000000000002,0.0,2006001.0
2019-07-20 16,1108.5,11.879999999999999,0.0,2006001.0
2019-07-20 17,1112.5,10.72,0.0,2006001.0
2019-07-20 18,1116.5,11.68,0.0,2006001.0
2019-07-20 19,1120.5,12.419999999999998,0.0,2006001.0
2019-07-20 20,1124.5,12.100000000000001,0.0,2006001.0
2019-07-20 21,1128.5,11.899999999999999,0.0,2006001.0
2019-07-20 22,1132.5,11.96,0.0,2006001.0
2019-07-20 23,1136.5,11.64,0.0,2006001.0
2019-07-21 00,1140.5,11.12,-1.54,2006001.0
2019-07-21 01,1144.5,11.0,-2.2,2006001.0
2019-07-21 02,1148.5,10.979999999999999,-2.1,2006001.0
2019-07-21 03,1152.5,10.580000000000002,-2.12,2006001.0
2019-07-21 04,1156.5,10.48,-2.14,2006001.0
