,DATA,PATIVA,PREATIVA,IDMEDIDOR
117,2019-03-16 08:30:00,157.68,77.76,2004001
118,2019-03-16 08:45:00,155.52,73.98,2004001
119,2019-03-16 09:00:00,197.1,97.2,2004001
120,2019-03-16 09:15:00,160.38,78.84,2004001
121,2019-03-16 09:30:00,154.98,77.22,2004001
122,2019-03-16 09:45:00,150.12,74.52,2004001
123,2019-03-16 10:00:00,153.36,77.76,2004001
124,2019-03-16 10:15:00,150.66,75.6,2004001
125,2019-03-16 10:30:00,144.72,73.44,2004001
126,2019-03-16 10:45:00,151.74,76.14,2004001
127,2019-03-16 11:00:00,195.48,103.68,2004001
128,2019-03-16 11:15:00,149.04,76.14,2004001
129,2019-03-16 11:30:00,149.58,56.7,2004001
130,2019-03-16 11:45:00,143.1,63.18,2004001
131,2019-03-16 12:00:00,123.12,57.24,2004001
132,2019-03-16 12:15:00,139.86,71.82,2004001
133,2019-03-16 12:30:00,144.18,73.98,2004001
134,2019-03-16 12:45:00,183.06,97.2,2004001
135,2019-03-16 13:00:00,162.54,89.1,2004001
136,2019-03-16 13:15:00,152.28,81.0,2004001
137,2019-03-16 13:30:00,147.96,79.92,2004001
138,2019-03-16 13:45:00,142.56,0.0,2004001
139,2019-03-16 14:00:00,137.16,0.0,2004001
140,2019-03-16 14:15:00,144.72,0.0,2004001
141,2019-03-16 14:30:00,143.64,0.0,2004001
142,2019-03-16 14:45:00,187.38,0.0,2004001
143,2019-03-16 15:00:00,149.58,0.0,2004001
144,2019-03-16 15:15:00,145.8,0.0,2004001
145,2019-03-16 15:30:00,141.48,0.0,2004001
146,2019-03-16 15:45:00,144.72,0.0,2004001
147,2019-03-16 16:00:00,142.56,0.0,2004001
148,2019-03-16 16:15:00,140.4,0.0,2004001
149,2019-03-16 16:30:00,166.32,0.0,2004001
150,2019-03-16 16:45:00,132.84,0.0,2004001
151,2019-03-16 17:00:00,133.92,0.0,2004001
152,2019-03-16 17:15:00,136.62,0.0,2004001
153,2019-03-16 17:30:00,136.08,0.0,2004001
154,2019-03-16 17:45:00,146.88,0.0,2004001
155,2019-03-16 18:00:00,142.02,0.0,2004001
156,2019-03-16 18:15:00,169.02,0.0,2004001
157,2019-03-16 18:30:00,158.76,0.0,2004001
158,2019-03-16 18:45:00,138.78,0.0,2004001
159,2019-03-16 19:00:00,142.56,0.0,2004001
160,2019-03-16 19:15:00,140.94,0.0,2004001
161,2019-03-16 19:30:00,143.64,0.0,2004001
162,2019-03-16 19:45:00,144.18,73.98,2004001
163,2019-03-16 20:00:00,142.56,73.44,2004001
164,2019-03-16 20:15:00,177.12,97.2,2004001
165,2019-03-16 20:30:00,137.7,77.76,2004001
166,2019-03-16 20:45:00,123.12,72.36,2004001
167,2019-03-16 21:00:00,96.66,49.14,2004001
168,2019-03-16 21:15:00,86.94,49.68,2004001
169,2019-03-16 21:30:00,108.54,66.96,2004001
170,2019-03-16 21:45:00,93.96,52.38,2004001
171,2019-03-16 22:00:00,140.94,82.62,2004001
172,2019-03-16 22:15:00,99.9,59.4,2004001
173,2019-03-16 22:30:00,110.7,63.18,2004001
174,2019-03-16 22:45:00,108.0,44.82,2004001
175,2019-03-16 23:00:00,103.14,58.32,2004001
176,2019-03-16 23:15:00,111.78,66.96,2004001
177,2019-03-16 23:30:00,105.3,62.64,2004001
178,2019-03-16 23:45:00,136.62,78.3,2004001
179,2019-03-17 00:00:00,123.66,76.14,2004001
180,2019-03-17 00:15:00,110.7,66.42,2004001
181,2019-03-17 00:30:00,114.48,68.58,2004001
182,2019-03-17 00:45:00,107.46,64.26,2004001
183,2019-03-17 01:00:00,109.08,62.64,2004001
184,2019-03-17 01:15:00,104.76,60.48,2004001
185,2019-03-17 01:30:00,130.14,71.82,2004001
186,2019-03-17 01:45:00,100.98,54.54,2004001
187,2019-03-17 02:00:00,109.62,59.4,2004001
188,2019-03-17 02:15:00,114.48,58.32,2004001
189,2019-03-17 02:30:00,109.62,42.66,2004001
190,2019-03-17 02:45:00,105.3,55.62,2004001
191,2019-03-17 03:00:00,106.38,57.78,2004001
192,2019-03-17 03:15:00,176.04,103.14,2004001
193,2019-03-17 03:30:00,116.64,67.5,2004001
194,2019-03-17 03:45:00,116.64,66.42,2004001
195,2019-03-17 04:00:00,122.58,72.9,2004001
196,2019-03-17 04:15:00,125.82,76.14,2004001
197,2019-03-17 04:30:00,122.04,74.52,2004001
198,2019-03-17 04:45:00,114.48,66.96,2004001
199,2019-03-17 05:00:00,167.4,100.98,2004001
200,2019-03-17 05:15:00,120.42,72.9,2004001
201,2019-03-17 05:30:00,116.64,69.12,2004001
202,2019-03-17 05:45:00,106.92,62.1,2004001
203,2019-03-17 06:00:00,89.1,37.8,2004001
204,2019-03-17 06:15:00,102.06,37.8,2004001
205,2019-03-17 06:30:00,117.18,67.5,2004001
206,2019-03-17 06:45:00,133.38,78.84,2004001
207,2019-03-17 07:00:00,142.02,82.62,2004001
208,2019-03-17 07:15:00,103.14,58.86,2004001
209,2019-03-17 07:30:00,111.78,68.58,2004001
210,2019-03-17 07:45:00,106.92,61.02,2004001
211,2019-03-17 08:00:00,135.0,84.24,2004001
212,2019-03-17 08:15:00,150.66,84.78,2004001
213,2019-03-17 08:30:00,164.16,81.54,2004001
214,2019-03-17 08:45:00,172.8,84.78,2004001
215,2019-03-17 09:00:00,154.44,79.38,2004001
216,2019-03-17 09:15:00,156.06,78.84,2004001
217,2019-03-17 09:30:00,153.9,76.68,2004001
218,2019-03-17 09:45:00,153.9,68.04,2004001
219,2019-03-17 10:00:00,149.04,57.78,2004001
220,2019-03-17 10:15:00,139.86,62.1,2004001
221,2019-03-17 10:30:00,166.32,79.92,2004001
222,2019-03-17 10:45:00,150.66,74.52,2004001
223,2019-03-17 11:00:00,152.82,78.3,2004001
224,2019-03-17 11:15:00,151.74,76.14,2004001
225,2019-03-17 11:30:00,148.5,73.44,2004001
226,2019-03-17 11:45:00,149.58,74.52,2004001
227,2019-03-17 12:00:00,147.42,73.98,2004001
228,2019-03-17 12:15:00,187.38,96.12,2004001
229,2019-03-17 12:30:00,147.96,74.52,2004001
230,2019-03-23 02:30:00,274.32,106.92,2004001
231,2019-03-23 02:45:00,247.86,102.06,2004001
232,2019-03-23 03:00:00,294.3,91.8,2004001
233,2019-03-23 03:15:00,315.36,93.96,2004001
234,2019-03-23 03:30:00,382.86,112.86,2004001
235,2019-03-23 03:45:00,287.82,71.82,2004001
236,2019-03-23 04:00:00,271.08,81.54,2004001
237,2019-03-23 04:15:00,251.1,94.5,2004001
238,2019-03-23 04:30:00,228.42,104.76,2004001
239,2019-03-23 04:45:00,174.96,75.06,2004001
240,2019-03-23 05:00:00,145.8,70.74,2004001
241,2019-03-23 05:15:00,124.74,69.12,2004001
242,2019-03-23 05:30:00,98.82,49.68,2004001
243,2019-03-23 05:45:00,111.24,57.24,2004001
244,2019-03-23 06:00:00,162.0,90.18,2004001
245,2019-03-23 06:15:00,148.5,84.24,2004001
246,2019-03-23 06:30:00,135.0,78.84,2004001
247,2019-03-23 06:45:00,136.08,79.92,2004001
248,2019-03-23 07:00:00,138.24,81.54,2004001
249,2019-03-23 07:15:00,129.06,63.18,2004001
250,2019-03-23 07:30:00,127.98,58.86,2004001
251,2019-03-23 07:45:00,177.12,102.6,2004001
252,2019-03-23 08:00:00,136.08,81.0,2004001
253,2019-03-23 08:15:00,156.06,83.16,2004001
254,2019-03-23 08:30:00,168.48,86.4,2004001
255,2019-03-23 08:45:00,169.02,86.94,2004001
256,2019-03-23 09:00:00,170.1,84.24,2004001
257,2019-03-23 09:15:00,163.62,77.22,2004001
258,2019-03-23 09:30:00,210.6,107.46,2004001
259,2019-03-23 09:45:00,151.74,69.66,2004001
260,2019-03-23 10:00:00,143.64,64.8,2004001
261,2019-03-23 10:15:00,151.2,69.12,2004001
262,2019-03-23 10:30:00,163.08,77.22,2004001
263,2019-03-23 10:45:00,167.94,84.24,2004001
264,2019-03-23 11:00:00,190.08,86.4,2004001
265,2019-03-23 11:15:00,199.26,92.88,2004001
266,2019-03-23 11:30:00,170.64,85.86,2004001
267,2019-03-23 11:45:00,165.24,84.78,2004001
268,2019-03-23 12:00:00,167.94,84.24,2004001
269,2019-03-23 12:15:00,166.86,84.78,2004001
270,2019-03-23 12:30:00,163.08,81.0,2004001
271,2019-03-23 12:45:00,192.78,98.28,2004001
272,2019-03-23 13:00:00,180.36,92.88,2004001
273,2019-03-23 13:15:00,166.32,85.86,2004001
274,2019-03-23 13:30:00,162.0,80.46,2004001
275,2019-03-23 13:45:00,164.7,0.0,2004001
276,2019-03-23 14:00:00,164.16,0.0,2004001
277,2019-03-23 14:15:00,147.96,0.0,2004001
278,2019-03-23 14:30:00,174.42,0.0,2004001
279,2019-03-23 14:45:00,163.08,0.0,2004001
280,2019-03-23 15:00:00,151.74,0.0,2004001
281,2019-03-23 15:15:00,155.52,0.0,2004001
282,2019-03-23 15:30:00,166.86,0.0,2004001
283,2019-03-23 15:45:00,170.1,0.0,2004001
284,2019-03-23 16:00:00,166.32,0.0,2004001
285,2019-03-23 16:15:00,205.74,0.0,2004001
286,2019-03-23 16:30:00,163.08,0.0,2004001
287,2019-03-23 16:45:00,162.54,0.0,2004001
288,2019-03-23 17:00:00,161.46,0.0,2004001
289,2019-03-23 17:15:00,162.0,0.0,2004001
290,2019-03-23 17:30:00,162.0,0.0,2004001
291,2019-03-23 17:45:00,158.76,0.0,2004001
292,2019-03-23 18:00:00,209.52,0.0,2004001
293,2019-03-23 18:15:00,162.0,0.0,2004001
294,2019-03-23 18:30:00,164.16,0.0,2004001
295,2019-03-23 18:45:00,144.72,0.0,2004001
296,2019-03-23 19:00:00,143.1,0.0,2004001
297,2019-03-23 19:15:00,159.3,0.0,2004001
298,2019-03-23 19:30:00,159.3,0.0,2004001
299,2019-03-23 19:45:00,156.6,78.3,2004001
300,2019-03-23 20:00:00,189.54,93.96,2004001
301,2019-03-23 20:15:00,160.38,86.4,2004001
302,2019-03-23 20:30:00,155.52,87.48,2004001
303,2019-03-23 20:45:00,144.72,79.92,2004001
304,2019-03-23 21:00:00,126.36,77.22,2004001
305,2019-03-23 21:15:00,125.82,76.14,2004001
306,2019-03-17 12:45:00,163.08,89.1,2004001
307,2019-03-17 13:00:00,154.44,81.0,2004001
308,2019-03-17 13:15:00,157.68,86.4,2004001
309,2019-03-17 13:30:00,150.66,62.1,2004001
310,2019-03-17 13:45:00,139.32,0.0,2004001
311,2019-03-17 14:00:00,179.28,0.0,2004001
312,2019-03-17 14:15:00,160.38,0.0,2004001
313,2019-03-17 14:30:00,151.2,0.0,2004001
314,2019-03-17 14:45:00,137.16,0.0,2004001
315,2019-03-17 15:00:00,129.06,0.0,2004001
316,2019-03-17 15:15:00,133.92,0.0,2004001
317,2019-03-17 15:30:00,143.1,0.0,2004001
318,2019-03-17 15:45:00,174.42,0.0,2004001
319,2019-03-17 16:00:00,167.4,0.0,2004001
320,2019-03-17 16:15:00,146.88,0.0,2004001
321,2019-03-17 16:30:00,147.42,0.0,2004001
322,2019-03-17 16:45:00,142.02,0.0,2004001
323,2019-03-17 17:00:00,135.0,0.0,2004001
324,2019-03-17 17:15:00,138.78,0.0,2004001
325,2019-03-17 17:30:00,150.66,0.0,2004001
326,2019-03-17 17:45:00,189.54,0.0,2004001
327,2019-03-17 18:00:00,145.26,0.0,2004001
328,2019-03-17 18:15:00,150.12,0.0,2004001
329,2019-03-17 18:30:00,143.1,0.0,2004001
330,2019-03-17 18:45:00,141.48,0.0,2004001
331,2019-03-17 19:00:00,145.26,0.0,2004001
332,2019-03-17 19:15:00,132.84,0.0,2004001
333,2019-03-17 19:30:00,172.26,0.0,2004001
334,2019-03-17 19:45:00,167.4,72.36,2004001
335,2019-03-17 20:00:00,193.32,79.38,2004001
336,2019-03-17 20:15:00,246.24,84.24,2004001
337,2019-03-17 20:30:00,282.42,79.38,2004001
338,2019-03-17 20:45:00,315.36,90.72,2004001
339,2019-03-17 21:00:00,375.3,73.44,2004001
340,2019-03-17 21:15:00,410.4,98.82,2004001
341,2019-03-17 21:30:00,457.92,92.88,2004001
342,2019-03-17 21:45:00,522.18,111.78,2004001
343,2019-03-17 22:00:00,481.68,85.32,2004001
344,2019-03-17 22:15:00,534.6,112.32,2004001
345,2019-03-17 22:30:00,541.62,106.38,2004001
346,2019-03-17 22:45:00,665.28,133.38,2004001
347,2019-03-17 23:00:00,630.72,109.62,2004001
348,2019-03-17 23:15:00,640.44,125.82,2004001
349,2019-03-17 23:30:00,723.6,122.04,2004001
350,2019-03-17 23:45:00,801.9,115.56,2004001
351,2019-03-18 00:00:00,821.88,138.78,2004001
352,2019-03-18 00:15:00,804.6,123.66,2004001
353,2019-03-18 00:30:00,845.1,141.48,2004001
354,2019-03-18 00:45:00,938.52,151.74,2004001
355,2019-03-18 01:00:00,955.8,162.54,2004001
356,2019-03-18 01:15:00,1115.64,214.38,2004001
357,2019-03-18 01:30:00,1094.04,204.12,2004001
358,2019-03-18 01:45:00,1020.06,215.46,2004001
359,2019-03-18 02:00:00,1169.1,216.54,2004001
360,2019-03-18 02:15:00,1097.28,178.2,2004001
361,2019-03-18 02:30:00,1124.28,197.64,2004001
362,2019-03-18 02:45:00,1052.46,177.66,2004001
363,2019-03-18 03:00:00,1148.58,220.86,2004001
364,2019-03-18 03:15:00,1043.82,192.78,2004001
365,2019-03-18 03:30:00,1141.02,183.6,2004001
366,2019-03-18 03:45:00,947.7,153.36,2004001
367,2019-03-18 04:00:00,815.4,163.62,2004001
368,2019-03-18 04:15:00,891.0,119.34,2004001
369,2019-03-18 04:30:00,1148.58,136.62,2004001
370,2019-03-18 04:45:00,995.22,108.54,2004001
371,2019-03-18 05:00:00,957.42,140.4,2004001
372,2019-03-18 05:15:00,926.64,152.28,2004001
373,2019-03-18 05:30:00,933.12,135.54,2004001
374,2019-03-18 05:45:00,967.68,153.9,2004001
375,2019-03-18 06:00:00,1015.2,153.9,2004001
376,2019-03-18 06:15:00,915.3,129.6,2004001
377,2019-03-18 06:30:00,779.22,138.78,2004001
378,2019-03-18 06:45:00,748.98,118.8,2004001
379,2019-03-18 07:00:00,698.76,99.36,2004001
380,2019-03-18 07:15:00,780.84,120.42,2004001
381,2019-03-18 07:30:00,708.48,98.28,2004001
382,2019-03-18 07:45:00,583.74,126.9,2004001
383,2019-03-18 08:00:00,568.08,150.66,2004001
384,2019-03-18 08:15:00,525.96,100.44,2004001
385,2019-03-18 08:30:00,550.8,102.06,2004001
386,2019-03-18 08:45:00,596.7,95.58,2004001
387,2019-03-18 09:00:00,523.8,98.82,2004001
388,2019-03-18 09:15:00,396.9,105.84,2004001
389,2019-03-18 09:30:00,414.18,96.66,2004001
390,2019-03-18 09:45:00,388.8,120.96,2004001
391,2019-03-18 10:00:00,283.5,81.54,2004001
392,2019-03-18 10:15:00,251.1,96.12,2004001
393,2019-03-18 10:30:00,228.42,93.42,2004001
394,2019-03-18 10:45:00,217.62,83.7,2004001
395,2019-03-18 11:00:00,224.1,91.26,2004001
396,2019-03-18 11:15:00,264.06,111.78,2004001
397,2019-03-18 11:30:00,210.6,83.7,2004001
398,2019-03-18 11:45:00,207.9,72.9,2004001
399,2019-03-18 12:00:00,193.32,58.86,2004001
400,2019-03-18 12:15:00,190.08,76.68,2004001
401,2019-03-18 12:30:00,215.46,99.36,2004001
402,2019-03-18 12:45:00,207.36,98.82,2004001
403,2019-03-18 13:00:00,238.14,113.4,2004001
404,2019-03-18 13:15:00,185.22,76.68,2004001
405,2019-03-18 13:30:00,185.22,79.92,2004001
406,2019-03-18 13:45:00,198.18,0.0,2004001
407,2019-03-18 14:00:00,187.38,0.0,2004001
408,2019-03-18 14:15:00,198.72,0.0,2004001
409,2019-03-18 14:30:00,195.48,0.0,2004001
410,2019-03-18 14:45:00,208.98,0.0,2004001
411,2019-03-18 15:00:00,217.62,0.0,2004001
412,2019-03-18 15:15:00,181.98,0.0,2004001
413,2019-03-18 15:30:00,199.26,0.0,2004001
414,2019-03-18 15:45:00,185.22,0.0,2004001
415,2019-03-18 16:00:00,177.66,0.0,2004001
416,2019-03-18 16:15:00,189.54,0.0,2004001
417,2019-03-18 16:30:00,211.68,0.0,2004001
418,2019-03-18 16:45:00,189.54,0.0,2004001
419,2019-03-18 17:00:00,182.52,0.0,2004001
420,2019-03-18 17:15:00,183.6,0.0,2004001
421,2019-03-18 17:30:00,189.54,0.0,2004001
422,2019-03-18 17:45:00,165.24,0.0,2004001
423,2019-03-18 18:00:00,162.0,0.0,2004001
424,2019-03-18 18:15:00,207.9,0.0,2004001
425,2019-03-18 18:30:00,208.44,0.0,2004001
426,2019-03-18 18:45:00,180.36,0.0,2004001
427,2019-03-18 19:00:00,186.3,0.0,2004001
428,2019-03-18 19:15:00,187.92,0.0,2004001
429,2019-03-18 19:30:00,189.0,0.0,2004001
430,2019-03-18 19:45:00,229.5,86.94,2004001
431,2019-03-18 20:00:00,261.9,99.36,2004001
432,2019-03-18 20:15:00,295.92,88.02,2004001
433,2019-03-18 20:30:00,304.02,84.78,2004001
434,2019-03-18 20:45:00,268.38,82.62,2004001
435,2019-03-18 21:00:00,318.06,89.64,2004001
436,2019-03-18 21:15:00,333.72,80.46,2004001
437,2019-03-18 21:30:00,413.64,82.08,2004001
438,2019-03-18 21:45:00,516.24,93.96,2004001
439,2019-03-18 22:00:00,571.86,138.24,2004001
440,2019-03-18 22:15:00,616.68,95.58,2004001
441,2019-03-18 22:30:00,643.68,102.6,2004001
442,2019-03-18 22:45:00,758.7,140.4,2004001
443,2019-03-18 23:00:00,860.76,111.78,2004001
444,2019-03-18 23:15:00,861.3,122.04,2004001
445,2019-03-18 23:30:00,886.68,147.96,2004001
446,2019-03-18 23:45:00,868.32,111.78,2004001
447,2019-03-19 00:00:00,1020.6,149.04,2004001
448,2019-03-19 00:15:00,964.98,117.18,2004001
449,2019-03-19 00:30:00,1014.66,137.16,2004001
450,2019-03-19 00:45:00,981.72,133.92,2004001
451,2019-03-19 01:00:00,870.48,123.12,2004001
452,2019-03-19 01:15:00,1078.38,167.94,2004001
453,2019-03-19 01:30:00,945.0,140.94,2004001
454,2019-03-19 01:45:00,1065.42,169.56,2004001
455,2019-03-19 02:00:00,1030.32,136.62,2004001
456,2019-03-19 02:15:00,1014.12,147.96,2004001
457,2019-03-19 02:30:00,1042.2,157.14,2004001
458,2019-03-19 02:45:00,983.34,142.56,2004001
459,2019-03-19 03:00:00,1057.32,170.1,2004001
460,2019-03-19 03:15:00,977.94,180.9,2004001
461,2019-03-19 03:30:00,1018.44,211.68,2004001
462,2019-03-19 03:45:00,916.38,166.86,2004001
463,2019-03-19 04:00:00,618.84,124.74,2004001
464,2019-03-19 04:15:00,789.48,153.36,2004001
465,2019-03-19 04:30:00,870.48,160.38,2004001
466,2019-03-19 04:45:00,795.42,131.22,2004001
467,2019-03-19 05:00:00,925.02,163.62,2004001
468,2019-03-19 05:15:00,825.12,140.4,2004001
469,2019-03-19 05:30:00,808.38,136.62,2004001
470,2019-03-19 05:45:00,951.48,186.84,2004001
471,2019-03-19 06:00:00,970.92,153.36,2004001
472,2019-03-19 06:15:00,1107.54,216.0,2004001
473,2019-03-19 06:30:00,805.68,118.8,2004001
474,2019-03-19 06:45:00,677.7,91.8,2004001
475,2019-03-19 07:00:00,610.2,128.52,2004001
476,2019-03-19 07:15:00,516.24,105.3,2004001
477,2019-03-19 07:30:00,463.86,118.8,2004001
478,2019-03-19 07:45:00,477.9,145.8,2004001
479,2019-03-19 08:00:00,427.68,124.74,2004001
480,2019-03-19 08:15:00,369.9,98.82,2004001
481,2019-03-19 08:30:00,389.88,110.7,2004001
482,2019-03-19 08:45:00,458.46,112.32,2004001
483,2019-03-19 09:00:00,382.86,104.22,2004001
484,2019-03-19 09:15:00,287.28,84.78,2004001
485,2019-03-19 09:30:00,351.0,115.56,2004001
486,2019-03-19 09:45:00,225.18,86.4,2004001
487,2019-03-19 10:00:00,202.5,83.16,2004001
488,2019-03-19 10:15:00,194.4,71.28,2004001
489,2019-03-19 10:30:00,194.94,68.04,2004001
490,2019-03-19 10:45:00,244.62,100.98,2004001
491,2019-03-19 11:00:00,226.26,83.7,2004001
492,2019-03-19 11:15:00,271.08,116.64,2004001
493,2019-03-19 11:30:00,207.36,70.74,2004001
494,2019-03-19 11:45:00,181.44,61.56,2004001
495,2019-03-19 12:00:00,152.82,75.6,2004001
496,2019-03-19 12:15:00,177.66,96.12,2004001
497,2019-03-19 12:30:00,160.38,81.54,2004001
498,2019-03-19 12:45:00,174.96,92.88,2004001
499,2019-03-19 13:00:00,207.36,109.08,2004001
