,DATA,POTENCIA,RADIACAO,TEMPERATURA,P/R,R/P
337,2019-07-22 01,11.32,0,22.5,,0.0
338,2019-07-22 02,11.239999999999998,0,20.7,,0.0
339,2019-07-22 03,11.079999999999998,0,20.8,,0.0
340,2019-07-22 04,10.62,0,18.9,,0.0
341,2019-07-22 05,11.44,0,17.2,,0.0
342,2019-07-22 06,12.66,0,16.2,,0.0
343,2019-07-22 07,18.16,0,16.6,,0.0
344,2019-07-22 08,24.68,0,16.5,,0.0
345,2019-07-22 09,28.58,0,16.4,,0.0
346,2019-07-22 10,28.8,20373.0,17.5,,707.3958333333334
347,2019-07-22 11,29.32,499664.0,20.7,,17041.74624829468
348,2019-07-22 12,27.38,1137551.0,22.5,,41546.785975164355
349,2019-07-22 13,29.72,1836.46,24.7,,61.79205921938089
350,2019-07-22 14,31.28,2040627.0,26.6,,65237.43606138107
351,2019-07-22 15,32.059999999999995,1899474.0,27.3,,59247.473487211486
352,2019-07-22 16,30.94,2383621.0,26.6,,77040.10989010989
353,2019-07-22 17,26.54,2212435.0,27.8,,83362.283345893
354,2019-07-22 18,24.92,2084439.0,28.6,,83645.22471910111
355,2019-07-22 19,17.380000000000006,1342876.0,28.1,,77265.59263521286
356,2019-07-22 20,16.48,160189.0,26.6,,9720.206310679612
357,2019-07-22 21,16.22,44155.0,23.9,,2722.2564734895195
358,2019-07-22 22,15.06,0,22.6,,0.0
359,2019-07-22 23,14.58,0,21.2,,0.0
360,2019-07-23 00,14.22,0,20.8,,0.0
361,2019-07-23 01,14.02,0,20.1,,0.0
362,2019-07-23 02,13.86,0,19.1,,0.0
363,2019-07-23 03,13.5,0,17.4,,0.0
364,2019-07-23 04,13.52,0,16.8,,0.0
365,2019-07-23 05,13.98,0,15.2,,0.0
366,2019-07-23 06,14.44,0,14.8,,0.0
367,2019-07-23 07,21.82,0,15.3,,0.0
368,2019-07-23 08,25.980000000000004,0,15.0,,0.0
369,2019-07-23 09,27.62,0,14.6,,0.0
370,2019-07-23 10,29.880000000000006,14639.0,13.3,,489.9263721552877
371,2019-07-23 11,30.58,519856.0,16.4,,16999.86919555265
372,2019-07-23 12,28.48,1292819.0,19.1,,45393.925561797754
373,2019-07-23 13,29.7,1933547.0,23.6,,65102.59259259259
374,2019-07-23 14,33.36,2360591.0,25.6,,70761.1211031175
375,2019-07-23 15,33.06,2569183.0,26.2,,77712.73442226255
376,2019-07-23 16,31.36,2586386.0,27.9,,82474.04336734694
377,2019-07-23 17,22.94,2404175.0,27.5,,104802.74629468177
378,2019-07-23 18,17.52,1983043.0,28.3,,113187.38584474886
379,2019-07-23 19,15.679999999999998,1321209.0,27.9,,84260.7780612245
380,2019-07-23 20,14.22,166058.0,27.0,,11677.777777777777
381,2019-07-23 21,13.739999999999998,45153.0,24.9,,3286.2445414847166
382,2019-07-23 22,12.86,0,22.7,,0.0
383,2019-07-23 23,12.96,0,21.7,,0.0
384,2019-07-24 00,12.340000000000002,0,19.8,,0.0
385,2019-07-24 01,11.8,0,18.1,,0.0
386,2019-07-24 02,12.12,0,17.1,,0.0
387,2019-07-24 03,11.58,0,16.7,,0.0
388,2019-07-24 04,11.38,0,17.0,,0.0
389,2019-07-24 05,12.06,0,16.0,,0.0
390,2019-07-24 06,12.32,0,15.3,,0.0
391,2019-07-24 07,20.06,0,15.2,,0.0
392,2019-07-24 08,29.28,0,14.7,,0.0
393,2019-07-24 09,32.239999999999995,0,14.1,,0.0
394,2019-07-24 10,33.239999999999995,15026.0,13.8,,452.0457280385079
395,2019-07-24 11,33.4,509811.0,18.1,,15263.802395209581
396,2019-07-24 12,30.48,1293729.0,23.6,,42445.17716535433
397,2019-07-24 13,31.56,1935.36,25.7,,61.32319391634981
398,2019-07-24 14,33.72,2323697.0,26.7,,68911.53618030842
399,2019-07-24 15,34.72,2429319.0,27.4,,69968.86520737328
400,2019-07-24 16,33.78,2203064.0,28.5,,65217.99881586737
401,2019-07-24 17,27.7,2544414.0,29.8,,91856.1010830325
402,2019-07-24 18,24.64,2107424.0,30.4,,85528.57142857142
403,2019-07-24 19,17.02,1561243.0,29.9,,91729.90599294947
404,2019-07-24 20,15.72,298405.0,28.8,,18982.506361323154
405,2019-07-24 21,15.46,83876.0,26.4,,5425.3557567917205
406,2019-07-24 22,14.42,0,24.1,,0.0
407,2019-07-24 23,13.72,0,21.4,,0.0
408,2019-07-25 00,13.14,0,19.9,,0.0
409,2019-07-25 01,13.32,0,19.8,,0.0
410,2019-07-25 02,12.92,0,18.8,,0.0
411,2019-07-25 03,12.68,0,18.6,,0.0
412,2019-07-25 04,12.6,0,18.1,,0.0
413,2019-07-25 05,13.2,0,17.2,,0.0
414,2019-07-25 06,14.08,0,17.5,,0.0
415,2019-07-25 07,20.22,0,16.6,,0.0
416,2019-07-25 08,28.32,0,16.4,,0.0
417,2019-07-25 09,29.8,0,15.6,,0.0
418,2019-07-25 10,30.38,20156.0,14.9,,663.4628044766293
419,2019-07-25 11,31.6,398664.0,19.2,,12615.949367088608
420,2019-07-25 12,29.5,1035922.0,21.7,,35116.0
421,2019-07-25 13,31.16,1893496.0,26.7,,60766.88061617458
422,2019-07-25 14,37.48,2358553.0,27.2,,62928.30843116329
423,2019-07-25 15,40.46,2225827.0,29.0,,55013.02521008403
424,2019-07-25 16,34.739999999999995,2719.06,28.9,,78.26885434657456
425,2019-07-25 17,26.94,2464358.0,29.5,,91475.79806978471
426,2019-07-25 18,21.04,2021204.0,29.3,,96064.8288973384
427,2019-07-25 19,18.86,1540327.0,29.0,,81671.63308589607
428,2019-07-25 20,17.78,213165.0,27.9,,11989.032620922384
429,2019-07-25 21,16.98,52303.0,25.0,,3080.270906949352
430,2019-07-25 22,15.88,0,23.9,,0.0
431,2019-07-25 23,15.32,0,22.2,,0.0
432,2019-07-26 00,15.06,0,20.3,,0.0
433,2019-07-26 01,14.82,0,18.8,,0.0
434,2019-07-26 02,14.94,0,17.2,,0.0
435,2019-07-26 03,14.44,0,16.8,,0.0
436,2019-07-26 04,14.22,0,16.2,,0.0
437,2019-07-26 05,14.98,0,15.4,,0.0
438,2019-07-26 06,15.14,0,15.2,,0.0
439,2019-07-26 07,23.44,0,14.1,,0.0
440,2019-07-26 08,31.04,0,13.9,,0.0
441,2019-07-26 09,33.17999999999999,0,13.2,,0.0
442,2019-07-26 10,33.48,16913.0,12.9,,505.16726403823185
443,2019-07-26 11,32.12,516997.0,17.6,,16095.797011207971
444,2019-07-26 12,29.0,1292.7,20.9,,44.57586206896552
445,2019-07-26 13,30.520000000000003,1930014.0,24.8,,63237.68020969855
446,2019-07-26 14,33.18,2360759.0,27.2,,71150.06027727546
447,2019-07-26 15,31.16,2556475.0,27.6,,82043.48523748395
448,2019-07-26 16,28.6,1808864.0,27.6,,63246.993006993005
449,2019-07-26 17,25.34,1501931.0,27.6,,59271.15232833465
450,2019-07-26 18,23.360000000000007,1170468.0,28.1,,50105.65068493149
451,2019-07-26 19,21.02,513.91,26.9,,24.44862036156042
452,2019-07-26 20,20.28,366892.0,26.0,,18091.321499013804
453,2019-07-26 21,20.14,79.06,24.0,,3.925521350546177
454,2019-07-26 22,19.4,0,22.6,,0.0
455,2019-07-26 23,18.62,0,20.9,,0.0
456,2019-07-27 00,18.34,0,20.9,,0.0
457,2019-07-27 01,18.82,0,20.7,,0.0
458,2019-07-27 02,18.78,0,19.6,,0.0
459,2019-07-27 03,18.08,0,19.4,,0.0
460,2019-07-27 04,17.5,0,17.2,,0.0
461,2019-07-27 05,17.939999999999994,0,18.4,,0.0
462,2019-07-27 06,17.86,0,17.7,,0.0
463,2019-07-27 07,18.94,0,15.7,,0.0
464,2019-07-27 08,20.54,0,14.9,,0.0
465,2019-07-27 09,25.3,0,15.0,,0.0
466,2019-07-27 10,21.24,17947.0,13.8,,844.9623352165726
467,2019-07-27 11,20.52,546637.0,19.2,,26639.230019493178
468,2019-07-27 12,18.56,1338644.0,22.4,,72125.21551724139
469,2019-07-27 13,18.2,1979723.0,25.2,,108775.98901098901
470,2019-07-27 14,16.6,2432976.0,25.0,,146564.8192771084
471,2019-07-27 15,15.58,2646446.0,26.1,,169861.7458279846
472,2019-07-27 16,15.14,2678443.0,25.7,,176911.69088507266
473,2019-07-27 17,15.7,2568.47,26.8,,163.5968152866242
474,2019-07-27 18,16.9,2163013.0,26.7,,127988.93491124261
475,2019-07-27 19,16.659999999999997,1559.09,26.5,,93.58283313325332
476,2019-07-27 20,15.78,236838.0,25.8,,15008.74524714829
477,2019-07-27 21,15.98,68.15,24.5,,4.264705882352941
478,2019-07-27 22,15.94,0,22.6,,0.0
479,2019-07-27 23,16.1,0,21.6,,0.0
480,2019-07-28 00,15.62,0,20.8,,0.0
481,2019-07-28 01,15.14,0,19.2,,0.0
482,2019-07-28 02,15.4,0,17.1,,0.0
483,2019-07-28 03,15.079999999999998,0,17.2,,0.0
484,2019-07-28 04,14.98,0,16.0,,0.0
485,2019-07-28 05,15.52,0,14.5,,0.0
486,2019-07-28 06,14.8,0,13.5,,0.0
487,2019-07-28 07,13.78,0,12.5,,0.0
488,2019-07-28 08,13.58,0,11.4,,0.0
489,2019-07-28 09,13.96,0,12.8,,0.0
490,2019-07-28 10,14.4,29429.0,13.1,,2043.6805555555554
491,2019-07-28 11,14.62,632144.0,16.9,,43238.30369357045
492,2019-07-28 12,15.52,1112192.0,19.3,,71661.85567010309
493,2019-07-28 13,15.16,1942.37,24.2,,128.12467018469655
494,2019-07-28 14,15.22,2382999.0,25.5,,156570.23653088041
495,2019-07-28 15,15.24,2247329.0,27.2,,147462.53280839894
496,2019-07-28 16,15.16,2382595.0,27.0,,157163.2585751979
497,2019-07-28 17,14.74,2507482.0,27.7,,170114.11126187246
498,2019-07-28 18,17.16,2102.12,28.2,,122.50116550116549
499,2019-07-28 19,17.92,842391.0,27.5,,47008.42633928571
500,2019-07-28 20,17.4,342825.0,26.3,,19702.586206896554
501,2019-07-28 21,17.2,70959.0,25.2,,4125.523255813953
502,2019-07-28 22,16.880000000000006,0,24.1,,0.0
503,2019-07-28 23,16.82,0,23.4,,0.0
504,2019-07-29 00,16.52,0,23.4,,0.0
505,2019-07-29 01,16.46,0,23.3,,0.0
506,2019-07-29 02,16.319999999999997,0,22.5,,0.0
507,2019-07-29 03,16.38,0,22.5,,0.0
508,2019-07-29 04,15.96,0,21.6,,0.0
509,2019-07-29 05,16.48,0,21.0,,0.0
510,2019-07-29 06,17.52,0,18.8,,0.0
511,2019-07-29 07,23.02,0,19.1,,0.0
512,2019-07-29 08,30.92,0,17.6,,0.0
513,2019-07-29 09,35.88,0,16.6,,0.0
514,2019-07-29 10,36.86,16.01,16.0,,0.4343461747151384
515,2019-07-29 11,36.38,544913.0,19.8,,14978.367234744364
516,2019-07-29 12,31.34,1301445.0,23.8,,41526.64326738992
517,2019-07-29 13,33.48,1938686.0,28.3,,57905.794504181606
518,2019-07-29 14,35.84,2389.96,29.0,,66.68415178571428
519,2019-07-29 15,36.78,2583274.0,29.2,,70235.8346927678
520,2019-07-29 16,35.38,2060682.0,30.4,,58244.262295081964
521,2019-07-29 17,32.44,2013673.0,30.6,,62073.766954377315
522,2019-07-29 18,26.38,1694507.0,31.0,,64234.53373768006
523,2019-07-29 19,22.22,1820588.0,30.7,,81934.65346534654
524,2019-07-29 20,21.28,383.41,29.1,,18.017387218045112
525,2019-07-29 21,20.16,83398.0,26.2,,4136.805555555556
526,2019-07-29 22,20.16,0,25.2,,0.0
527,2019-07-29 23,18.94,0,23.8,,0.0
528,2019-07-30 00,18.62,0,22.8,,0.0
529,2019-07-30 01,18.38,0,21.6,,0.0
530,2019-07-30 02,18.340000000000003,0,21.2,,0.0
531,2019-07-30 03,18.22,0,20.5,,0.0
532,2019-07-30 04,17.740000000000006,0,18.9,,0.0
533,2019-07-30 05,18.22,0,17.5,,0.0
534,2019-07-30 06,18.46,0,17.6,,0.0
535,2019-07-30 07,25.56,0,16.6,,0.0
536,2019-07-30 08,32.46,0,16.0,,0.0
537,2019-07-30 09,35.22,0,14.6,,0.0
538,2019-07-30 10,37.46,21393.0,14.9,,571.0891617725574
539,2019-07-30 11,35.66000000000001,640897.0,18.7,,17972.43409983174
540,2019-07-30 12,30.06,910891.0,21.6,,30302.428476380574
541,2019-07-30 13,32.940000000000005,1608262.0,25.7,,48823.98299939283
542,2019-07-30 14,39.06,1532172.0,28.0,,39226.11367127496
543,2019-07-30 15,40.18,1830753.0,28.7,,45563.78795420608
544,2019-07-30 16,38.9,1514076.0,28.8,,38922.262210796915
545,2019-07-30 17,31.3,1428447.0,29.3,,45637.28434504792
546,2019-07-30 18,27.52,1013.38,30.0,,36.823401162790695
547,2019-07-30 19,29.18,1594006.0,29.6,,54626.66209732694
548,2019-07-30 20,24.2,368525.0,30.1,,15228.305785123968
549,2019-07-30 21,22.840000000000003,62828.0,26.2,,2750.7880910683007
550,2019-07-30 22,22.62,0,23.7,,0.0
551,2019-07-30 23,20.9,0,21.8,,0.0
552,2019-07-31 00,19.82,0,20.9,,0.0
553,2019-07-31 01,20.160000000000004,0,18.8,,0.0
554,2019-07-31 02,19.94,0,18.3,,0.0
555,2019-07-31 03,19.52,0,17.6,,0.0
556,2019-07-31 04,19.12,0,16.5,,0.0
557,2019-07-31 05,19.66,0,16.8,,0.0
558,2019-07-31 06,19.78,0,16.2,,0.0
559,2019-07-31 07,28.76,0,15.9,,0.0
560,2019-07-31 08,40.92,0,15.1,,0.0
561,2019-07-31 09,39.16,0,14.8,,0.0
562,2019-07-31 10,38.84,21925.0,15.1,,564.4953656024717
563,2019-07-31 11,39.0,520379.0,17.3,,13343.051282051281
564,2019-07-31 12,35.16,1306187.0,22.7,,37149.800910125145
565,2019-07-31 13,39.64,1899798.0,27.9,,47926.286579212916
566,2019-07-31 14,40.94,2323286.0,30.1,,56748.5588666341
567,2019-07-31 15,40.54,2543251.0,30.5,,62734.361124815
568,2019-07-31 16,41.22,2525001.0,31.5,,61256.69577874818
569,2019-07-31 17,39.7,2361686.0,31.2,,59488.31234256927
570,2019-07-31 18,34.7,2014158.0,31.2,,58044.89913544668
571,2019-07-31 19,25.08,1321.3,30.5,,52.683413078149925
572,2019-07-31 20,22.52,448433.0,29.6,,19912.65541740675
573,2019-07-31 21,22.24,98463.0,26.7,,4427.293165467626
574,2019-07-31 22,21.54,0,25.5,,0.0
575,2019-07-31 23,20.8,0,23.5,,0.0
576,2019-08-01 00,20.36,0,22.5,,0.0
577,2019-08-01 01,19.96,0,20.8,,0.0
578,2019-08-01 02,20.12,0,19.4,,0.0
579,2019-08-01 03,19.84,0,18.4,,0.0
580,2019-08-01 04,19.44,0,17.3,,0.0
581,2019-08-01 05,19.92,0,16.9,,0.0
582,2019-08-01 06,20.1,0,15.7,,0.0
583,2019-08-01 07,25.54,0,15.3,,0.0
584,2019-08-01 08,32.14,0,14.2,,0.0
585,2019-08-01 09,35.3,0,14.2,,0.0
586,2019-08-01 10,37.42,23631.0,13.8,,631.507215392838
587,2019-08-01 11,40.58,520594.0,17.4,,12828.831936914738
588,2019-08-01 12,35.34,1245308.0,22.1,,35237.91737408036
589,2019-08-01 13,37.34,1899.58,27.7,,50.872522763792176
