,DATA,PATIVA,PREATIVA,IDMEDIDOR
0,2019-05-18 00:30:00,195.48,35.64,1002001
1,2019-05-18 00:45:00,195.48,34.56,1002001
2,2019-05-18 01:00:00,192.24,35.64,1002001
3,2019-05-18 01:15:00,181.44,34.56,1002001
4,2019-05-18 01:30:00,172.8,35.64,1002001
5,2019-05-18 01:45:00,163.08,34.56,1002001
6,2019-05-18 02:00:00,159.84,37.8,1002001
7,2019-05-18 02:15:00,170.64,39.96,1002001
8,2019-05-18 02:30:00,166.32,37.8,1002001
9,2019-05-18 02:45:00,164.16,38.88,1002001
10,2019-05-18 03:00:00,164.16,37.8,1002001
11,2019-05-18 03:15:00,162.0,37.8,1002001
12,2019-05-18 03:30:00,166.32,39.96,1002001
13,2019-05-18 03:45:00,160.92,39.96,1002001
14,2019-05-18 04:00:00,155.52,37.8,1002001
15,2019-05-18 04:15:00,154.44,38.88,1002001
16,2019-05-18 04:30:00,149.04,36.72,1002001
17,2019-05-18 04:45:00,144.72,37.8,1002001
18,2019-05-18 05:00:00,136.08,35.64,1002001
19,2019-05-18 05:15:00,128.52,35.64,1002001
20,2019-05-18 05:30:00,120.96,33.48,1002001
21,2019-05-18 05:45:00,116.64,33.48,1002001
22,2019-05-18 06:00:00,109.08,33.48,1002001
23,2019-05-18 06:15:00,98.28,33.48,1002001
24,2019-05-18 06:30:00,93.96,32.4,1002001
25,2019-05-18 06:45:00,91.8,34.56,1002001
26,2019-05-18 07:00:00,92.88,33.48,1002001
27,2019-05-18 07:15:00,88.56,33.48,1002001
28,2019-05-18 07:30:00,85.32,32.4,1002001
29,2019-05-18 07:45:00,83.16,28.08,1002001
30,2019-05-18 08:00:00,81.0,25.92,1002001
31,2019-05-18 08:15:00,83.16,0.0,1002001
32,2019-05-18 08:30:00,83.16,0.0,1002001
33,2019-05-18 08:45:00,82.08,0.0,1002001
34,2019-05-18 09:00:00,81.0,0.0,1002001
35,2019-05-18 09:15:00,79.92,0.0,1002001
36,2019-05-18 09:30:00,79.92,0.0,1002001
37,2019-05-18 09:45:00,79.92,0.0,1002001
38,2019-05-18 10:00:00,81.0,0.0,1002001
39,2019-05-18 10:15:00,81.0,0.0,1002001
40,2019-05-18 10:30:00,81.0,0.0,1002001
41,2019-05-18 10:45:00,79.92,0.0,1002001
42,2019-05-18 11:00:00,81.0,0.0,1002001
43,2019-05-18 11:15:00,81.0,0.0,1002001
44,2019-05-18 11:30:00,79.92,0.0,1002001
45,2019-05-18 11:45:00,79.92,0.0,1002001
46,2019-05-18 12:00:00,79.92,0.0,1002001
47,2019-05-18 12:15:00,78.84,0.0,1002001
48,2019-05-18 12:30:00,78.84,0.0,1002001
49,2019-05-18 12:45:00,79.92,0.0,1002001
50,2019-05-18 13:00:00,78.84,0.0,1002001
51,2019-05-18 13:15:00,82.08,0.0,1002001
52,2019-05-18 13:30:00,83.16,0.0,1002001
53,2019-05-18 13:45:00,83.16,0.0,1002001
54,2019-05-18 14:00:00,84.24,0.0,1002001
55,2019-05-18 14:15:00,89.64,28.08,1002001
56,2019-05-18 14:30:00,92.88,25.92,1002001
57,2019-05-18 14:45:00,92.88,27.0,1002001
58,2019-05-18 15:00:00,92.88,25.92,1002001
59,2019-05-18 15:15:00,98.28,25.92,1002001
60,2019-05-18 15:30:00,100.44,24.84,1002001
61,2019-05-18 15:45:00,103.68,22.68,1002001
62,2019-05-18 16:00:00,111.24,22.68,1002001
63,2019-05-18 16:15:00,118.8,22.68,1002001
64,2019-05-18 16:30:00,124.2,20.52,1002001
65,2019-05-18 16:45:00,130.68,22.68,1002001
66,2019-05-18 17:00:00,137.16,22.68,1002001
67,2019-05-18 17:15:00,141.48,24.84,1002001
68,2019-05-18 17:30:00,145.8,25.92,1002001
69,2019-05-18 17:45:00,150.12,27.0,1002001
70,2019-05-18 18:00:00,152.28,27.0,1002001
71,2019-05-18 18:15:00,160.92,29.16,1002001
72,2019-05-18 18:30:00,164.16,28.08,1002001
73,2019-05-18 18:45:00,165.24,29.16,1002001
74,2019-05-18 19:00:00,168.48,30.24,1002001
75,2019-05-18 19:15:00,167.4,28.08,1002001
76,2019-05-18 19:30:00,168.48,29.16,1002001
77,2019-05-18 19:45:00,167.4,30.24,1002001
78,2019-05-18 20:00:00,159.84,30.24,1002001
79,2019-05-18 20:15:00,154.44,25.92,1002001
80,2019-05-18 20:30:00,153.36,29.16,1002001
81,2019-05-18 20:45:00,158.76,28.08,1002001
82,2019-05-18 21:00:00,162.0,30.24,1002001
83,2019-05-18 21:15:00,171.72,30.24,1002001
84,2019-05-18 21:30:00,174.96,30.24,1002001
85,2019-05-18 21:45:00,184.68,32.4,1002001
86,2019-05-18 22:00:00,201.96,35.64,1002001
87,2019-05-18 22:15:00,218.16,37.8,1002001
88,2019-05-18 22:30:00,225.72,39.96,1002001
89,2019-05-18 22:45:00,224.64,42.12,1002001
90,2019-05-18 23:00:00,223.56,41.04,1002001
91,2019-05-18 23:15:00,219.24,39.96,1002001
92,2019-05-18 23:30:00,220.32,41.04,1002001
